t,x1,y1,x2,y2,x3,y3,x4,y4
19353600,889679.6837,3785968.169,-1.106478416e+11,-1.018544503e+11,1.082077909e+11,-1856338010,-1.077875469e+11,1.979416248e+11
19440000,885136.797,3800337.283,-1.089105381e+11,-1.037342436e+11,1.081752775e+11,1169742599,-1.096281771e+11,1.969233868e+11
19526400,880702.805,3814623.418,-1.071415163e+11,-1.055838252e+11,1.080580913e+11,4194910556,-1.114593176e+11,1.958881031e+11
19612800,876379.2522,3828830.763,-1.053413018e+11,-1.074026668e+11,1.07856225e+11,7216794100,-1.132808093e+11,1.948358624e+11
19699200,872167.5462,3842963.541,-1.035104286e+11,-1.091902489e+11,1.075697378e+11,1.023301849e+10,-1.150924942e+11,1.937667549e+11
19785600,868068.9565,3857026.003,-1.016494392e+11,-1.109460613e+11,1.071987557e+11,1.324120789e+10,-1.168942148e+11,1.926808722e+11
19872000,864084.6138,3871022.428,-9.975888417e+10,-1.126696034e+11,1.067434717e+11,1.623898723e+10,-1.186858146e+11,1.915783077e+11
19958400,860215.509,3884957.116,-9.783932246e+10,-1.143603839e+11,1.062041461e+11,1.922398418e+10,-1.204671381e+11,1.904591559e+11
20044800,856462.4922,3898834.383,-9.589132077e+10,-1.160179212e+11,1.055811064e+11,2.219383098e+10,-1.222380306e+11,1.893235129e+11
20131200,852826.2726,3912658.558,-9.391545362e+10,-1.176417437e+11,1.048747476e+11,2.514616649e+10,-1.239983382e+11,1.881714765e+11
20217600,849307.4175,3926433.98,-9.191230315e+10,-1.192313892e+11,1.040855319e+11,2.807863803e+10,-1.257479081e+11,1.870031457e+11
20304000,845906.3523,3940164.991,-8.988245889e+10,-1.20786406e+11,1.032139888e+11,3.098890342e+10,-1.274865883e+11,1.85818621e+11
20390400,842623.3605,3953855.932,-8.782651768e+10,-1.223063522e+11,1.022607149e+11,3.387463294e+10,-1.292142278e+11,1.846180044e+11
20476800,839458.5828,3967511.139,-8.574508342e+10,-1.237907962e+11,1.01226374e+11,3.673351125e+10,-1.309306766e+11,1.834013992e+11
20563200,836412.0183,3981134.939,-8.363876694e+10,-1.252393169e+11,1.001116962e+11,3.956323945e+10,-1.326357856e+11,1.821689102e+11
20649600,833483.524,3994731.645,-8.150818583e+10,-1.266515032e+11,9.891747829e+10,4.2361537e+10,-1.343294069e+11,1.809206437e+11
20736000,830672.8154,4008305.551,-7.935396423e+10,-1.280269551e+11,9.764458301e+10,4.512614374e+10,-1.360113932e+11,1.796567072e+11
20822400,827979.4671,4021860.926,-7.71767327e+10,-1.293652827e+11,9.629393866e+10,4.785482186e+10,-1.376815986e+11,1.783772099e+11
20908800,825402.9133,4035402.015,-7.497712798e+10,-1.306661072e+11,9.486653864e+10,5.054535788e+10,-1.39339878e+11,1.770822619e+11
20995200,822942.4489,4048933.028,-7.27557929e+10,-1.319290604e+11,9.336344087e+10,5.319556462e+10,-1.409860875e+11,1.757719752e+11
21081600,820597.2304,4062458.138,-7.05133761e+10,-1.331537852e+11,9.178576718e+10,5.580328318e+10,-1.426200842e+11,1.744464628e+11
21168000,818366.277,4075981.478,-6.825053192e+10,-1.343399352e+11,9.013470259e+10,5.836638488e+10,-1.442417263e+11,1.731058392e+11
21254400,816248.4718,4089507.134,-6.596792019e+10,-1.354871754e+11,8.841149458e+10,6.088277322e+10,-1.458508729e+11,1.717502201e+11
